CustomerID,Lookalikes
C0001,"[('C0152', 0.9803361977373931), ('C0174', 0.9639560802308534), ('C0118', 0.949874998933928)]"
C0002,"[('C0027', 0.9372947337484822), ('C0007', 0.9332559116718051), ('C0159', 0.9332532961831052)]"
C0003,"[('C0190', 0.9272025639017537), ('C0052', 0.8922622318484593), ('C0031', 0.8856878798559782)]"
C0004,"[('C0165', 0.9868096757055266), ('C0113', 0.9840079938218823), ('C0102', 0.9810155630862637)]"
C0005,"[('C0159', 0.9971756029090288), ('C0007', 0.9830847816319543), ('C0043', 0.9408778670056356)]"
C0006,"[('C0187', 0.8783330049380873), ('C0137', 0.839629633517415), ('C0048', 0.810585470252306)]"
C0007,"[('C0159', 0.9879404888614702), ('C0005', 0.9830847816319543), ('C0002', 0.9332559116718051)]"
C0008,"[('C0156', 0.8864862454427205), ('C0065', 0.8740654295755025), ('C0024', 0.8652363570506837)]"
C0009,"[('C0121', 0.9460611124139938), ('C0063', 0.94551618231667), ('C0061', 0.936471413059231)]"
C0010,"[('C0199', 0.9513468297173112), ('C0073', 0.9379052932662341), ('C0062', 0.9200449925226645)]"
C0011,"[('C0107', 0.9809917588369363), ('C0001', 0.9470785725328436), ('C0174', 0.9258667723329489)]"
C0012,"[('C0013', 0.9753114000353539), ('C0039', 0.9463601329723365), ('C0087', 0.94625856680589)]"
C0013,"[('C0012', 0.9753114000353539), ('C0087', 0.9744656200070547), ('C0126', 0.8873366501484635)]"
C0014,"[('C0063', 0.9909590387288624), ('C0167', 0.9479291523624946), ('C0089', 0.9361492243411732)]"
C0015,"[('C0058', 0.9951060784237344), ('C0020', 0.9786760074053775), ('C0033', 0.9745764626283842)]"
C0016,"[('C0183', 0.9633607891790638), ('C0026', 0.8728969464826789), ('C0189', 0.8466001338170348)]"
C0017,"[('C0075', 0.9439438340473308), ('C0041', 0.9365048458153166), ('C0124', 0.8970875114593205)]"
C0018,"[('C0046', 0.9193865913794883), ('C0117', 0.8241833595912171), ('C0183', 0.7725656624435431)]"
C0019,"[('C0086', 0.8708149684598926), ('C0103', 0.8382639601916864), ('C0164', 0.8299081059437732)]"
C0020,"[('C0033', 0.9944334442922627), ('C0058', 0.9845503872196255), ('C0015', 0.9786760074053775)]"
